pickup_company_name,pickup_address_line_1,pickup_city,pickup_postcode,pickup_email,pickup_lat,pickup_lng,pickup_time_from,pickup_time_to,,dropoff_company_name,dropoff_address_line_1,dropoff_city,dropoff_postcode,dropoff_email,dropoff_lat,dropoff_lng,dropoff_time_from,dropoff_time_to
Hilfiger Stores Ltd,100 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,gate 4 - MOL,London,EC1A2FD,billy@deliveryapp.com,51.5171675,-0.1043089,12:30:00,20:30:00
Hilfiger Stores Ltd,101 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,57 Farringdon Road,London,EC1M3JB,billy@deliveryapp.com,51.5205936,-0.1061162,10:00:00,20:30:00
Hilfiger Stores Ltd,102 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,63 Clerkenwell Road,London,EC1M5NP,billy@deliveryapp.com,51.5220558,-0.1057491,10:00:00,20:30:00
Hilfiger Stores Ltd,103 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Markmonitor,London,EC1N8JS,billy@deliveryapp.com,51.5199524,-0.1085864,08:30:00,20:30:00
Hilfiger Stores Ltd,104 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Linked In - FAO Thessa Ramaye,London,EC1R3DA,billy@deliveryapp.com,51.5232236,-0.108454,10:00:00,20:30:00
Hilfiger Stores Ltd,105 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,140 Goswell Road,London,EC1V7DY,billy@deliveryapp.com,51.5249305,-0.0992686,10:00:00,20:30:00
Hilfiger Stores Ltd,106 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,CBRE Facilities Office,London,EC1V9BW,billy@deliveryapp.com,51.5250318,-0.091296,10:00:00,20:30:00
Hilfiger Stores Ltd,107 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,C - Screens,London,EC1V9HX,billy@deliveryapp.com,51.524282,-0.0961398,10:00:00,20:30:00
Hilfiger Stores Ltd,108 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,DACC Europe/StructureTone,London,EC24UJ,billy@deliveryapp.com,51.5161213,-0.0787609,12:30:00,20:30:00
Hilfiger Stores Ltd,109 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,RaporMarketing,London,EC2A4HJ,billy@deliveryapp.com,51.523712,-0.0835602,12:30:00,20:30:00
Hilfiger Stores Ltd,110 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,3 Noble Street,London,EC2V7EE,billy@deliveryapp.com,51.5171184,-0.0954533,10:00:00,20:30:00
Hilfiger Stores Ltd,111 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,20 ROPE MAKER - LINKLATERS,London,EC2Y9LY,billy@deliveryapp.com,51.5199204,-0.0889247,10:00:00,20:30:00
Hilfiger Stores Ltd,112 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,69 leadenhall street,London,EC3A2DB,billy@deliveryapp.com,51.5130984,-0.0781733,10:00:00,20:30:00
Hilfiger Stores Ltd,113 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,6 BEVIS MARKS,London,EC3A7BA,billy@deliveryapp.com,51.5151206,-0.0795008,10:00:00,20:30:00
Hilfiger Stores Ltd,114 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,PETER BOROUGH COURT,London,EC4A2BJ,billy@deliveryapp.com,51.5145406,-0.1062628,09:30:00,20:30:00
Hilfiger Stores Ltd,115 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Stonecutter Court,London,EC4A3BQ,billy@deliveryapp.com,51.5156161,-0.1058663,10:00:00,20:30:00
Hilfiger Stores Ltd,116 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,DWS Investments Limited,London,EC4M5SB,billy@deliveryapp.com,51.5127537,-0.0949802,10:00:00,20:30:00
Hilfiger Stores Ltd,117 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Bloomberg Building,London,EC4N4SA,billy@deliveryapp.com,51.512868,-0.0905883,10:00:00,20:30:00
Hilfiger Stores Ltd,118 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,TRIG LANE,London,EC4V3DT,billy@deliveryapp.com,51.511107,-0.0972023,10:00:00,20:30:00
Hilfiger Stores Ltd,119 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Active Pump Services,London,EC4V3PE,billy@deliveryapp.com,51.510737,-0.0941077,10:00:00,20:30:00
Hilfiger Stores Ltd,120 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,316 Essex Road,London,N13PB,billy@deliveryapp.com,51.543261651114,-0.090756962575002,10:00:00,20:30:00
Hilfiger Stores Ltd,121 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,1 Dove Road,London,N13QP,billy@deliveryapp.com,51.546399,-0.0862709,10:00:00,20:30:00
Hilfiger Stores Ltd,122 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,JOLENE FARMER,London,N14BZ,billy@deliveryapp.com,51.5452857,-0.0773413,10:00:00,20:30:00
Hilfiger Stores Ltd,123 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,61 Marksfield Road,London,N154QA,billy@deliveryapp.com,51.5824345,-0.0638639,10:00:00,20:30:00
Hilfiger Stores Ltd,124 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,NEW LIDL STORE,London,N15LG,billy@deliveryapp.com,51.53286,-0.0803228,12:30:00,20:30:00
Hilfiger Stores Ltd,125 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,"30, Flat 1",London,N165JN,billy@deliveryapp.com,51.5723794,-0.0803811,10:00:00,20:30:00
Hilfiger Stores Ltd,126 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,"Unit 10, Hotspur Industrial Estate",London,N170XJ,billy@deliveryapp.com,51.6065527,-0.0557492,08:30:00,20:30:00
Hilfiger Stores Ltd,127 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,26 Warltersville Road,London,N193XH,billy@deliveryapp.com,51.5728415,-0.1223528,10:00:00,20:30:00
Hilfiger Stores Ltd,128 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,"Canopy Market, West Handyside Canopy",London,N1C4BH,billy@deliveryapp.com,51.535984,-0.123891,10:00:00,20:30:00
Hilfiger Stores Ltd,129 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Bank Chambers,London,N31DE,billy@deliveryapp.com,51.6011628,-0.1941897,10:00:00,20:30:00
Hilfiger Stores Ltd,130 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Woodberry Down,London,N42RY,billy@deliveryapp.com,51.5727527,-0.0879671,10:00:00,20:30:00
Hilfiger Stores Ltd,131 Liverpool St,London,EC2M 2AU,billy@deliveryapp.com,51.5181999,-0.083709061,08:30:00,11:00:00,,Fast Couriers,Arsenal Football Club,London,N51BU,billy@deliveryapp.com,51.5566692,-0.1063449,09:30:00,20:30:00
